Key,M,Optimize,HashFamily,Runs,TimeMean_ms,TimeStd_ms,TimeMedian_ms,IncorrectMean,IncorrectStd,IncorrectRate_%,TimePerOp_us
employee_id,1,False,deterministic,50,1.1929232627153397,0.08316177429953936,1.199404476210475,0.0,0.0,0.0,1.1929232627153397
employee_id,1,False,random,50,1.2197401467710733,0.08099383037824977,1.2208379339426756,0.0,0.0,0.0,1.2197401467710733
employee_id,1,True,deterministic,50,0.18347837030887604,0.002934318396252398,0.18272222951054573,494.86,16.008938829572052,49.486,0.18347837030887604
employee_id,1,True,random,50,0.23440329357981682,0.0040171742431146145,0.23372704163193703,487.8,14.09153748075165,48.78,0.23440329357981682
employee_id,10,False,deterministic,50,0.302739255130291,0.011172216148742255,0.3019964788109064,0.0,0.0,0.0,0.302739255130291
employee_id,10,False,random,50,0.35541181452572346,0.013122656898896617,0.3552462439984083,0.0,0.0,0.0,0.35541181452572346
employee_id,10,True,deterministic,50,0.18577538430690765,0.006094154703191771,0.18414296209812164,459.76,14.615563412935911,45.976,0.18577538430690765
employee_id,10,True,random,50,0.23561177775263786,0.005859293156631521,0.23454241454601288,461.16,15.332185700915153,46.116,0.23561177775263786
employee_id,100,False,deterministic,50,0.21474062465131283,0.008199887409204435,0.21269149146974087,0.0,0.0,0.0,0.21474062465131283
employee_id,100,False,random,50,0.2685071527957916,0.010380620539137136,0.26547606103122234,0.0,0.0,0.0,0.2685071527957916
employee_id,100,True,deterministic,50,0.19159122370183468,0.008142147822311934,0.18863915465772152,291.16,15.01204958202114,29.116000000000003,0.19159122370183468
employee_id,100,True,random,50,0.23926148191094398,0.0061789221849432845,0.23800483904778957,283.5,16.14506938065373,28.35,0.23926148191094398
employee_id,1000,False,deterministic,50,0.22282548248767853,0.024508484888141908,0.21688826382160187,0.0,0.0,0.0,0.22282548248767853
employee_id,1000,False,random,50,0.26368364691734314,0.005667771553204629,0.26205647736787796,0.0,0.0,0.0,0.26368364691734314
employee_id,1000,True,deterministic,50,0.2048390544950962,0.007842284505802193,0.20290049724280834,52.18,7.181864916125154,5.218,0.2048390544950962
employee_id,1000,True,random,50,0.2524612657725811,0.005191631571211761,0.25054276920855045,53.18,6.242350420755806,5.318,0.2524612657725811
salary,1,False,deterministic,50,1.1410544719547033,0.07443665782359714,1.1425868142396212,0.24,0.591090310445063,0.024,1.1410544719547033
salary,1,False,random,50,1.1981845740228891,0.08488279857100788,1.2089211959391832,0.32,0.6207303137828695,0.032,1.1981845740228891
salary,1,True,deterministic,50,0.1903684064745903,0.00792466897172338,0.18702587112784386,492.12,14.5470945272131,49.212,0.1903684064745903
salary,1,True,random,50,0.2349982876330614,0.008353201776310836,0.23281597532331944,496.32,17.365741550300605,49.632,0.2349982876330614
salary,10,False,deterministic,50,1.148662269115448,0.086273888159008,1.1478583328425884,0.32,0.7125693664765672,0.032,1.148662269115448
salary,10,False,random,50,0.3515629470348358,0.009381536709167651,0.349878566339612,0.3,0.6468132241526726,0.03,0.3515629470348358
salary,10,True,deterministic,50,0.18754877150058746,0.007825136538944611,0.18543004989624023,497.3,14.916433890176302,49.73,0.18754877150058746
salary,10,True,random,50,0.23395675234496593,0.0054459294824795255,0.2327950205653906,462.66,14.166084821984988,46.266,0.23395675234496593
salary,100,False,deterministic,50,1.17222816683352,0.07014440408277328,1.1768743861466646,0.26,0.5646020812962715,0.026,1.17222816683352
salary,100,False,random,50,0.2618197165429592,0.004207934068528107,0.2612785901874304,0.52,0.9527618286018896,0.052,0.2618197165429592
salary,100,True,deterministic,50,0.187711575999856,0.010611236047004886,0.18545356579124928,492.34,17.48890026997299,49.234,0.187711575999856
salary,100,True,random,50,0.24158496409654617,0.006559572873186737,0.23937318474054337,279.36,15.681472234091139,27.936,0.24158496409654617
salary,1000,False,deterministic,50,1.140059232711792,0.07564130710516696,1.1228506918996572,0.2,0.6388765649999399,0.02,1.140059232711792
salary,1000,False,random,50,0.2626598533242941,0.004326352359736316,0.2608811482787132,0.34,0.5928141120356123,0.034,0.2626598533242941
salary,1000,True,deterministic,50,0.18704290501773357,0.011572023087744519,0.1839720644056797,492.9,15.788461299445279,49.29,0.18704290501773357
salary,1000,True,random,50,0.2525546308606863,0.0058465307684873085,0.2509730402380228,51.48,7.456650230033674,5.148,0.2525546308606863
